curated_family,family,source_resource,source_sheet,enzyme_full_name,enzyme_common_name,species,substrate,product,text
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Serine:glyoxylate aminotransferase,SGAT,Arabidopsis thaliana,asparagine; pyruvate,alanine; 2-oxosuccinamate,"Serine:glyoxylate aminotransferase SGAT   Arabidopsis thaliana   asparagine; pyruvate alanine; 2-oxosuccinamate High serine:glyoxylate aminotransferase activity lowers leaf daytime serine levels, inducing the phosphoserine pathway in Arabidopsis. 10.1093/jxb/erw467  At2g13360  pass 33090|Viridiplantae AT2G13360|NA|SGAT|PF00266;Aminotran_5;1|SGAT|NA SGAT_ARATH|A0A0A6ZHA3_GOSHI|A0A1D8RJ17_ELECO|Q8LGQ7_SPIPO Q56YA5|O81248|A0A0A6ZHA3|A0A1D8RJ17|Q8LGQ7 NP_001318216.1|NP_001318216|NP_178969.1|NP_178969|NP_849951.1|NP_849951|NP_001314412.1|NP_001314412|XP_016734507.1|XP_016734507| NM_001335388.1|NM_001335388|NM_126925.5|NM_126925|NM_179620.2|NM_179620|NM_001327483.1|NM_001327483|XM_016879018.1|XM_016879018| Arabidopsis_thaliana|Gossypium_hirsutum|Eleusine_coracana|Spirodela_polyrhiza"
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,TRYPTOPHAN AMINOTRANSFERASE OF ARABIDOPSIS1; Tryptophan Aminotransferase of Arabidopsis 1,TAA1,Arabidopsis thaliana,tryptophan; Tryptophan,indole-3-pyruvate; Indole-3-pyruvate,TRYPTOPHAN AMINOTRANSFERASE OF ARABIDOPSIS1; Tryptophan Aminotransferase of Arabidopsis 1 TAA1   Arabidopsis thaliana   tryptophan; Tryptophan indole-3-pyruvate; Indole-3-pyruvate WD40-REPEAT 5a represses root meristem growth by suppressing auxin synthesis through changes of nitric oxide accumulation in Arabidopsis. 10.1111/tpj.13816 Q9S7X2   pass 33090|Viridiplantae Q9S7X2|PF03080;Neprosin;1;PF14365;Neprosin_AP;1|TAA1|PF04864;Alliinase_C;1|TAA1|IPR006948;Alliinase_C;IPR037029;Alliinase_N_sf;IPR050478;Ethylene_sulfur-biosynth;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|TAA1|PF05658;YadA_head;2 Q9S7X2_ARATH|TAA1_ARATH|TAR2_ORYSJ|V9VJE1_COFCA|A0A371FRI2_MUCPR|A0A0U1XIN8_CATRO|A0A1E7EV63_9STRA|A0A314KKK7_NICAT|A0A1Z3GWX8_FRAAN Q9S7X2|Q9S7N2|Q5VQG8|Q0JQC9|V9VJE1|A0A371FRI2|A0A0U1XIN8|A0A1E7EV63|A0A314KKK7|A0A1Z3GWX8 |NP_177213.1|NP_177213|XP_015648041.1|XP_015648041|XP_015648050.1|XP_015648050|XP_019230040.1|XP_019230040 |NM_105724.3|NM_105724|XM_015792555.1|XM_015792555|XM_015792564.1|XM_015792564|XM_019374495.1|XM_019374495 Arabidopsis_thaliana|Oryza_sativa_subsp._japonica|Coffea_canephora|Mucuna_pruriens|Catharanthus_roseus|Fragilariopsis_cylindrus_CCMP1102|Nicotiana_attenuata|Fragaria_ananassa
Aminotransferase,4070|Solanaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Aromatic Aminotransferase 4,Ab-ArAT4,Atropa belladonna,4-Hydroxyphenylpyruvate,L-Tyrosine,Aromatic Aminotransferase 4 Ab-ArAT4   Atropa belladonna   4-Hydroxyphenylpyruvate L-Tyrosine A root-expressed L-phenylalanine:4-hydroxyphenylpyruvate aminotransferase is required for tropane alkaloid biosynthesis in Atropa belladonna. 10.1105/tpc.114.130534   aba_locus_77118_iso_1_len_595_ver_2; aba_locus_126696_iso_1_len_540_ver_2; aba_locus_126900_iso_1_len_415_ver_2 pass 33090|Viridiplantae ABA_LOCUS_77118_ISO_1_LEN_595_VER_2|NA|ABA_LOCUS_126696_ISO_1_LEN_540_VER_2|NA|ABA_LOCUS_126900_ISO_1_LEN_415_VER_2|NA|AB-ARAT4|NA
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Alanine aminotransferase,AlaAT,Hordeum vulgare,pyruvate;glutamate,alanine;2-oxoglutarate,Alanine aminotransferase AlaAT   Hordeum vulgare   pyruvate;glutamate alanine;2-oxoglutarate Purification and characterization of an anaerobically induced alanine aminotransferase from barley roots. 10.1104/pp.99.4.1520    pass 33090|Viridiplantae ALAAT|NA
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,AGD2-LIKE DEFENSE RESPONSE PROTEIN1,ALD1,Arabidopsis thaliana,L-Methionine,,AGD2-LIKE DEFENSE RESPONSE PROTEIN1 ALD1   Arabidopsis thaliana   L-Methionine  Biochemical Principles and Functional Aspects of Pipecolic Acid Biosynthesis in Plant Immunity. 10.1104/pp.17.00222 Q94B31   pass 33090|Viridiplantae Q94B31|NA|Q94B31|IPR040307;Ribosomal_cL37|ALD1|PF00155;Aminotran_1_2;1|ALD1|IPR004839;Aminotransferase_I/II;IPR019942;DapL/ALD1;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|ALD1|PF00171;Aldedh;1 PSRP5_ARATH|ALD1_ARATH|ALD1_ORYSJ|A0A3Q8Q412_CAMSI|A0A317Y1I1_MAIZE|A0A371FD63_MUCPR|A0A371GE55_MUCPR|F0Y6V6_AURAN|A0A9Q0F4J0_9ROSI|A0A3S8ND52_CAMSI|B8BYY3_THAPS|A0A314KZD4_NICAT|A0A2I0VZH7_9ASPA|A0A251UBS8_HELAN Q9LER7|Q94B31|Q9ZQI7|Q93ZH8|Q6VMN7|Q8H7W8|A0A3Q8Q412|A0A317Y1I1|A0A371FD63|A0A371GE55|F0Y6V6|A0A9Q0F4J0|A0A3S8ND52|B8BYY3|A0A314KZD4|A0A2I0VZH7|A0A251UBS8 NP_191250.1|NP_191250|NP_565359.1|NP_565359|XP_015630783.1|XP_015630783||XP_009036043.1|XP_009036043|XP_002288533.1|XP_002288533|XP_019266805.1|XP_019266805 NM_115550.4|NM_115550|NM_126957.2|NM_126957|XM_015775297.1|XM_015775297||XM_009037795.1|XM_009037795|XM_002288497.1|XM_002288497|XM_019411260.1|XM_019411260 Arabidopsis_thaliana|Oryza_sativa_subsp._japonica|Camellia_sinensis|Zea_mays|Mucuna_pruriens|Aureococcus_anophagefferens|Turnera_subulata|Thalassiosira_pseudonana|Nicotiana_attenuata|Dendrobium_catenatum|Helianthus_annuus
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Branched-chain aminotransferase 2,BCAT2,Arabidopsis thaliana,Leucine; Isoleucine; Valine,4-methyl-2-oxopentanoate; 3-methyl-2-oxopentanoate; 3-methyl-2-oxobutanoate,"Branched-chain aminotransferase 2 BCAT2   Arabidopsis thaliana   Leucine; Isoleucine; Valine 4-methyl-2-oxopentanoate; 3-methyl-2-oxopentanoate; 3-methyl-2-oxobutanoate The cytosolic branched-chain aminotransferases of Arabidopsis thaliana influence methionine supply, salvage and glucosinolate metabolism. 10.1007/s11103-015-0312-3    pass 33090|Viridiplantae BCAT2|PF01063;Aminotran_4;1|BCAT2|IPR001544;Aminotrans_IV;IPR018300;Aminotrans_IV_CS;IPR036038;Aminotransferase-like;IPR005786;B_amino_transII;IPR043132;BCAT-like_C;IPR043131;BCAT-like_N;IPR033939;BCAT_family|BCAT2|PF01063;Aminotran_4;2;PF02214;BTB_2;1|BCAT2|PF01063;Aminotran_4;1;PF02214;BTB_2;1|BCAT2|NA BCAT2_ARATH|BCAT2_HUMLU|Q2V4P2_ARATH|A0A371HMG9_MUCPR|A0A371FS95_MUCPR|A0A371EXD9_MUCPR|A0A812MUY2_9DINO|Q9SNY8_SOLTU|A0A812I542_9DINO|A0A812PQZ7_9DINO|A0A1Q9ERU5_SYMMI|A0A812J5V9_9DINO|A0A812PBD6_9DINO|D8LT74_ECTSI Q9M439|O80598|K7QHS5|Q2V4P2|A0A371HMG9|A0A371FS95|A0A371EXD9|A0A812MUY2|Q9SNY8|A0A812I542|A0A812PQZ7|A0A1Q9ERU5|A0A812J5V9|A0A812PBD6|D8LT74 NP_001031015.1|NP_001031015|NP_001031016.2|NP_001031016|NP_172478.1|NP_172478||NP_001275280.1|NP_001275280 NM_001035938.2|NM_001035938|NM_001035939.3|NM_001035939|NM_100881.3|NM_100881||NM_001288351.1|NM_001288351 Arabidopsis_thaliana|Humulus_lupulus|Mucuna_pruriens|Symbiodinium_sp._CCMP2456|Solanum_tuberosum|Symbiodinium_sp._CCMP2592|Symbiodinium_necroappetens|Symbiodinium_microadriaticum|Symbiodinium_natans|Ectocarpus_siliculosus"
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Glutamate-1-semialdehyde aminotransferase,GSA,Oryza sativa,Glutamate-1-semialdehyde,5-Aminolevulinic acid,Glutamate-1-semialdehyde aminotransferase GSA   Oryza sativa   Glutamate-1-semialdehyde 5-Aminolevulinic acid Glutamate 1-semialdehyde aminotransferase is connected to GluTR by GluTR-binding protein and contributes to the rate-limiting step of 5-aminolevulinic acid synthesis. 10.1093/plcell/koac237    pass 33090|Viridiplantae GSA|PF00202;Aminotran_3;1|GSA|IPR004639;4pyrrol_synth_GluAld_NH2Trfase;IPR005814;Aminotrans_3;IPR049704;Aminotrans_3_PPA_site;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small GSA_BRANA|GSA_CHLRE|GSA_HORVU|GSA_ORYSJ|GSA_SOYBN|GSA_TOBAC|A0A251U0X1_HELAN|A0A251VE03_HELAN|G4W9I5_MEDTR|A0A3L6EAQ0_MAIZE|A0A812LE88_SYMPI|A0A2I0AI93_9ASPA|A0A812NL07_9DINO|W6JNU0_DIACA|G4W9I6_MEDSA|A0A4P9D1N1_CINCA|A0A2I0WNG0_9ASPA|D7G5Q0_ECTSI Q85WB7|Q39566|Q39567|P18492|Q6YZE2|Q0J464|P45621|P31593|A0A251U0X1|A0A251VE03|G4W9I5|A0A3L6EAQ0|A0A812LE88|A0A2I0AI93|A0A812NL07|W6JNU0|G4W9I6|A0A4P9D1N1|A0A2I0WNG0|D7G5Q0 |XP_001697519.1|XP_001697519|XP_015650872.1|XP_015650872|NP_001238043.1|NP_001238043|NP_001311974.1|NP_001311974|XP_003604059.1|XP_003604059 |XM_001697467.1|XM_001697467|XM_015795386.1|XM_015795386|NM_001251114.1|NM_001251114|NM_001325045.1|NM_001325045|XM_003604011.2|XM_003604011 Brassica_napus|Chlamydomonas_reinhardtii|Hordeum_vulgare|Oryza_sativa_subsp._japonica|Glycine_max|Nicotiana_tabacum|Helianthus_annuus|Medicago_truncatula|Zea_mays|Symbiodinium_pilosum|Apostasia_shenzhenica|Symbiodinium_sp._CCMP2592|Dianthus_caryophyllus|Medicago_sativa|Cinnamomum_camphora|Dendrobium_catenatum|Ectocarpus_siliculosus
Aminotransferase,3803|Fabaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,phosphohydroxypyruvate:L-glutamate transaminase,PGDH,Pisum sativum,phosphohydroxypyruvate;L-glutamate,L-P-serine;a-ketoglutarate,phosphohydroxypyruvate:L-glutamate transaminase PGDH   Pisum sativum   phosphohydroxypyruvate;L-glutamate L-P-serine;a-ketoglutarate Comparative studies of enzymes related to serine metabolism in higher plants. 10.1104/pp.43.11.1813    pass 33090|Viridiplantae PGDH|PF00389;2-Hacid_dh;1;PF02826;2-Hacid_dh_C;1;PF01842;ACT;1;PF19304;PGDH_inter;1|PGDH|IPR045865;ACT-like_dom_sf;IPR002912;ACT_dom;IPR029009;ASB_dom_sf;IPR006139;D-isomer_2_OHA_DH_cat_dom;IPR029753;D-isomer_DH_CS;IPR029752;D-isomer_DH_CS1;IPR006140;D-isomer_DH_NAD-bd;IPR036291;NAD(P)-bd_dom_sf;IPR006236;PGDH;IPR045626;PGDH_ASB_dom|PGDH|PF00393;6PGD;1|PGDH|PF02826;2-Hacid_dh_C;1;PF19304;PGDH_inter;1|PGDH|PF00389;2-Hacid_dh;1;PF02826;2-Hacid_dh_C;1;PF19304;PGDH_inter;1|PGDH|PF00389;2-Hacid_dh;1;PF02826;2-Hacid_dh_C;1 SERA2_ARATH|A0A251UU50_HELAN|B6RPS7_9FABA|B6RPS3_MEDTR|A0A1S6KBT4_9FABA|A0A1S6KBT1_9FABA|A0A1S6KBT3_9FABA|A0A1S6KBP3_9FABA|F8T900_9FABA|A0A1S6KBQ1_9FABA|A0A1S6KBV9_9FABA|A0A1S6KBQ4_9FABA|B6RPS1_ACMAM|B6RPU4_9FABA|A0A1S6KBP8_9FABA|A0A1S6KBR6_9FABA|B6RPU2_CARAB|F8T8Z5_LATSA|A0A1S6KBQ8_9FABA|F8T8X8_9FABA|F8T8Z4_OXYPI|F8T8Y8_WISFL|A0A1S6KBU2_ONOVI|F8T8Z1_9FABA|B6RPT0_9FABA|F8T8X5_SESSE|A0A1S6KBS7_9FABA|A0A1S6KBR1_9FABA|A0A1S6KBT0_9FABA|B6RPT9_9FABA|B6RPU0_9FABA|F8T901_TRIRP|A0A1S6KBQ9_9FABA|W7T1C1_9STRA|W7TKE2_9STRA|F8T8X6_9FABA|A0A1S6KBT6_9FABA|A0A1S6KBU3_9FABA|F8T8Z3_9FABA|A0A1S6KBV1_9FABA|A0A1S6KBV8_9FABA|A0A1S6KBS4_9FABA|F8T8Y1_9FABA|A0A1S6KBR4_9FABA|A0A1S6KBT2_9FABA|A0A1S6KBR0_9FABA|B6RPU1_9FABA|F8T8Y7_9FABA|F8T8Z0_ASTAP|F8T8Z9_TRIFG|F8T8Y5_9FABA|B6RPT8_9FABA|A0A1S6KBS5_9FABA|A0A1S6KBS0_9FABA|B6RPT4_MEDSA|B6RPT7_9FABA|A0A1S6KBR7_9FABA|F8T8X4_9FABA|A0A1S6KBS6_9FABA|F8T8Y9_9FABA|A0A1S6KBT5_9FABA|A0A1S6KBS1_9FABA|F8T8X7_9FABA|A0A1S6KBP6_9FABA|F8T8Y6_9FABA|B6RPS2_9FABA|B6RPT2_9FABA|B6RPT3_VICFA|D7KFI9_ARALL|F8T8X9_SESGR|F8T8Z8_9FABA|A0A1S6KBP9_9FABA|A0A1S6KBT9_9FABA|F8T8Y3_9FABA|B6RPT6_9FABA|F8T8Z7_9FABA|A0A1S6KBX2_9FABA|B6RPT5_9FABA|F8T8Y4_9FABA|A0A1S6KBR9_9FABA|A0A1S6KBX0_9FABA|A0A1S6KBQ7_9FABA|A0A1S6KBR8_9FABA|A0A1S6KBR3_9FABA|B6RPT1_PEA|A0A1S6KBS3_9FABA|A0A1S6KBP7_9FABA|F8T8Y2_9FABA|F8T8Z6_9FABA|B6RPU6_9FABA|A0A1S6KBP4_9FABA|A0A1S6KBQ6_9FABA|F8T8Y0_9FABA|A0A1S6KBN9_9FABA|A0A1S6KBQ0_9FABA|B6RPU3_9FABA|A0A1S6KBQ3_9FABA|A0A1S6KBU9_9FABA|A0A1S6KBR5_9FABA|D7FJJ0_ECTSI|F8T8Z2_9FABA|D7FGX2_ECTSI O04130|F4I918|A0A251UU50|B6RPS7|B6RPS3|A0A1S6KBT4|A0A1S6KBT1|A0A1S6KBT3|A0A1S6KBP3|F8T900|A0A1S6KBQ1|A0A1S6KBV9|A0A1S6KBQ4|B6RPS1|B6RPU4|A0A1S6KBP8|A0A1S6KBR6|B6RPU2|F8T8Z5|A0A1S6KBQ8|F8T8X8|F8T8Z4|F8T8Y8|A0A1S6KBU2|F8T8Z1|B6RPT0|F8T8X5|A0A1S6KBS7|A0A1S6KBR1|A0A1S6KBT0|B6RPT9|B6RPU0|F8T901|A0A1S6KBQ9|W7T1C1|W7TKE2|F8T8X6|A0A1S6KBT6|A0A1S6KBU3|F8T8Z3|A0A1S6KBV1|A0A1S6KBV8|A0A1S6KBS4|F8T8Y1|A0A1S6KBR4|A0A1S6KBT2|A0A1S6KBR0|B6RPU1|F8T8Y7|F8T8Z0|F8T8Z9|F8T8Y5|B6RPT8|A0A1S6KBS5|A0A1S6KBS0|B6RPT4|B6RPT7|A0A1S6KBR7|F8T8X4|A0A1S6KBS6|F8T8Y9|A0A1S6KBT5|A0A1S6KBS1|F8T8X7|A0A1S6KBP6|F8T8Y6|B6RPS2|B6RPT2|B6RPT3|D7KFI9|F8T8X9|F8T8Z8|A0A1S6KBP9|A0A1S6KBT9|F8T8Y3|B6RPT6|F8T8Z7|A0A1S6KBX2|B6RPT5|F8T8Y4|A0A1S6KBR9|A0A1S6KBX0|A0A1S6KBQ7|A0A1S6KBR8|A0A1S6KBR3|B6RPT1|A0A1S6KBS3|A0A1S6KBP7|F8T8Y2|F8T8Z6|B6RPU6|A0A1S6KBP4|A0A1S6KBQ6|F8T8Y0|A0A1S6KBN9|A0A1S6KBQ0|B6RPU3|A0A1S6KBQ3|A0A1S6KBU9|A0A1S6KBR5|D7FJJ0|F8T8Z2|D7FGX2 NP_001031061.2|NP_001031061|NP_564034.1|NP_564034||XP_002890246.1|XP_002890246 NM_001035984.2|NM_001035984|NM_101636.3|NM_101636||XM_002890200.1|XM_002890200 Arabidopsis_thaliana|Helianthus_annuus|Sesbania_vesicaria|Medicago_truncatula|Onobrychis_pulchella|Hedysarum_boreale_var._mackenziei|Taverniera_aegyptiaca|Corethrodendron_multijugum|Trigonella_kotschyi|Hedysarum_chinense|Hedysarum_tibeticum|Hedysarum_inundatum|Acmispon_americanus|Sesbania_herbacea|Corethrodendron_lignosum_var._laeve|Hedysarum_algidum|Caragana_arborescens|Lathyrus_sativus|Hedysarum_neglectum|Sesbania_formosa|Oxytropis_pilosa|Wisteria_floribunda|Onobrychis_viciifolia|Astragalus_americanus|Astragalus_canadensis|Sesbania_sesban|Sartoria_hedysaroides|Ebenus_pinnata|Hedysarum_polybotrys|Oxytropis_lambertii|Olneya_tesota|Trifolium_repens|Hedysarum_hedysaroides|Nannochloropsis_gaditana|Sesbania_cinerascens|Onobrychis_schahuensis|Hedysarum_semenovii|Oxytropis_borealis_var._viscida|Hedysarum_kumaonense|Onobrychis_radiata|Taverniera_glauca|Sesbania_bispinosa|Onobrychis_biebersteinii|Hedysarum_varium|Hedysarum_tanguticum|Galega_orientalis|Coursetia_glandulosa|Astragalus_alpinus|Trigonella_foenum-graecum|Acmispon_grandiflorus|Oxytropis_deflexa|Sulla_coronaria|Onobrychis_reuteri|Medicago_sativa|Glycyrrhiza_lepidota|Ebenus_cretica|Sesbania_punicea|Hedysarum_dentatoalatum|Astragalus_nothoxys|Hedysarum_denticulatum|Onobrychis_saravschanica|Sesbania_brachycarpa|Alhagi_sparsifolia|Peteria_thompsoniae|Robinia_neomexicana|Colutea_arborescens|Vicia_faba|Arabidopsis_lyrata_subsp._lyrata|Sesbania_grandiflora|Medicago_arabica|Hedysarum_callithrix|Taverniera_cuneifolia|Sesbania_tetraptera|Lessertia_frutescens|Medicago_monantha|Onobrychis_arenaria|Swainsona_pterostylis|Sesbania_quadrata|Onobrychis_atropatana|Tave
Aminotransferase,4070|Solanaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,prephenate aminotransferase,PhPPA-AT,Petunia hybrida,prephenate,arogenate;phenylalanine,prephenate aminotransferase PhPPA-AT   Petunia hybrida   prephenate arogenate;phenylalanine Prephenate aminotransferase directs plant phenylalanine biosynthesis via arogenate. 10.1038/nchembio.485    pass 33090|Viridiplantae PHPPA-AT|NA
Aminotransferase,3781|Crassulaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Glycine aminotransferase,SR-GPAT,Sedum rubrotinctum,Glycine,Glyoxylate,Glycine aminotransferase SR-GPAT   Sedum rubrotinctum   Glycine Glyoxylate Cell organelles from crassulacean-acid-metabolism (CAM) plants : I. Enzymes in isolated peroxisomes. 10.1007/BF00391999    pass 33090|Viridiplantae SR-GPAT|NA
Aminotransferase,3977|Euphorbiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,glutamate-glyoxylate aminotransferase,GGAT,Ricinus communis,glutamate; glyoxylate,2-oxoglutarate; glycine,glutamate-glyoxylate aminotransferase GGAT   Ricinus communis   glutamate; glyoxylate 2-oxoglutarate; glycine Development of Microbodies in Sunflower Cotyledons and Castor Bean Endosperm during Germination. 10.1104/pp.48.5.566    pass 33090|Viridiplantae GGAT|PF00155;Aminotran_1_2;1 A0A1D8RJ21_ELECO|A0A1D8RJ35_ELECO A0A1D8RJ21|A0A1D8RJ35   Eleusine_coracana
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Tryptophan Aminotransferase,AtTAA1,Arabidopsis thaliana,tryptophan,indole-3-pyruvic acid (IPyA),"Tryptophan Aminotransferase AtTAA1   Arabidopsis thaliana   tryptophan indole-3-pyruvic acid (IPyA) Yucasin is a potent inhibitor of YUCCA, a key enzyme in auxin biosynthesis. 10.1111/tpj.12399   sav3-2 pass 33090|Viridiplantae SAV3-2|NA|ATTAA1|NA"
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Tryptophan Aminotransferase of Arabidopsis 1,,Arabidopsis thaliana,tryptophan,indole-3-pyruvate,Tryptophan Aminotransferase of Arabidopsis 1    Arabidopsis thaliana   tryptophan indole-3-pyruvate Complexity of the auxin biosynthetic network in Arabidopsis hypocotyls is revealed by multiple stable-labeled precursors. 10.1016/j.phytochem.2022.113219    pass 33090|Viridiplantae
Aminotransferase,3803|Fabaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,aminotransferase,,Phaseolus vulgaris,malonate semialdehyde,Î²-hydroxypropionate,"aminotransferase    Phaseolus vulgaris   malonate semialdehyde Î²-hydroxypropionate beta-Alanine as an Ethylene Precursor. Investigations Towards Preparation, and Properties, of a Soluble Enzyme System From a Subcellular Particulate Fraction of Bean Cotyledons. 10.1104/pp.44.9.1217    pass 33090|Viridiplantae"
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Glutamate: glyoxylate aminotransferase 1,GGAT1,Triticum aestivum,L-glutamate; pyruvate,2-oxoglutarate; L-alanine,Glutamate: glyoxylate aminotransferase 1 GGAT1   Triticum aestivum   L-glutamate; pyruvate 2-oxoglutarate; L-alanine Biochemical characterization and kinetic properties of alanine aminotransferase homologues partially purified from wheat (Triticum aestivum L.). 10.1016/j.phytochem.2012.07.008    pass 33090|Viridiplantae GGAT1|PF00155;Aminotran_1_2;1|GGAT1|IPR045088;ALAT1/2-like;IPR004839;Aminotransferase_I/II;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|GGAT1|PF12796;Ank_2;3 GGT1_ARATH|A0A812Q045_SYMPI|A0A812H0S7_9DINO Q9LR30|B9DFR2|Q93Z05|Q94B22|Q9C5K2|A0A812Q045|A0A812H0S7 NP_001031083.1|NP_001031083|NP_564192.2|NP_564192| NM_001036006.1|NM_001036006|NM_102180.4|NM_102180| Arabidopsis_thaliana|Symbiodinium_pilosum|Symbiodinium_sp._CCMP2592
Aminotransferase,1804623|Chenopodiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Aspartate aminotransferase,SO-AAT,Spinacia oleracea,aspartate; Î±-ketoglutarate,oxaloacetate; glutamate,Aspartate aminotransferase SO-AAT   Spinacia oleracea   aspartate; Î±-ketoglutarate oxaloacetate; glutamate Purification and characterization of aspartate aminotransferase isoenzymes from carrot suspension cultures. 10.1104/pp.92.3.587    pass 33090|Viridiplantae SO-AAT|NA
Aminotransferase,4893|Saccharomycetaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Acetylornithine Aminotransferase,TUP5,Saccharomyces cerevisiae,L-Glu; N-acetyl-L-Glu 5-semialdehyde; N-acetyl-Glu-5-semialdehyde,alpha-ketoglutarate; N2-acetyl-L-ornithine; N2-acetyl-Orn,Acetylornithine Aminotransferase TUP5   Saccharomyces cerevisiae   L-Glu; N-acetyl-L-Glu 5-semialdehyde; N-acetyl-Glu-5-semialdehyde alpha-ketoglutarate; N2-acetyl-L-ornithine; N2-acetyl-Orn The Arabidopsis TUMOR PRONE5 gene encodes an acetylornithine aminotransferase required for arginine biosynthesis and root meristem maintenance in blue light. 10.1104/pp.112.210583   YOL140w (ARG8) pass 4751|Fungi YOL140W(ARG8)|NA|TUP5|NA
Aminotransferase,1131320|Euglenaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,glutamate-1-semialdehyde aminotransferase,GSA-AT,Euglena gracilis,glutamate-1-semialdehyde,5-aminolevulinic acid,glutamate-1-semialdehyde aminotransferase GSA-AT   Euglena gracilis   glutamate-1-semialdehyde 5-aminolevulinic acid delta-Aminolevulinic Acid Biosynthesis from Glutamatein Euglena gracilis: Photocontrol of Enzyme Levels in a Chlorophyll-Free Mutant. 10.1104/pp.97.3.1094    pass 2759|Eukaryota GSA-AT|PF00202;Aminotran_3;1 Q9AVF5_AMATR|Q00GL0_KARBR Q9AVF5|Q00GL0   Amaranthus_tricolor|Karenia_brevis
Aminotransferase,4070|Solanaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Putative Î³-aminobutyrate aminotransferase,PGA4,Solanum stipuloideum,22-hydroxy-26-oxocholesterol,22-hydroxy-26-aminocholesterol,"Putative Î³-aminobutyrate aminotransferase PGA4   Solanum stipuloideum   22-hydroxy-26-oxocholesterol 22-hydroxy-26-aminocholesterol Characterization of C-26 aminotransferase, indispensable for steroidal glycoalkaloid biosynthesis. 10.1111/tpj.15426    pass 33090|Viridiplantae PGA4|PF00295;Glyco_hydro_28;1|PGA4|IPR000743;Glyco_hydro_28;IPR006626;PbH1;IPR012334;Pectin_lyas_fold;IPR011050;Pectin_lyase_fold/virulence PGLR1_ARATH P49062 NP_171778.1|NP_171778 NM_100158.3|NM_100158 Arabidopsis_thaliana"
Aminotransferase,3803|Fabaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Glutamate-oxaloacetate aminotransferase,GOTA,Vicia faba,Glutamate; Oxaloacetate; glutamate; oxaloacetate,Aspartate; 2-Ketoglutarate; aspartate; 2-ketoglutarate,Glutamate-oxaloacetate aminotransferase GOTA   Vicia faba   Glutamate; Oxaloacetate; glutamate; oxaloacetate Aspartate; 2-Ketoglutarate; aspartate; 2-ketoglutarate Amino Acid Biosynthesis by Isolated Chloroplasts during Photosynthesis. 10.1104/pp.50.2.228    pass 33090|Viridiplantae GOTA|NA
